date,GDPC96,PCECC96,PCDGCC96_Q,PCESVC96_Q,PCNDGC96_Q,GPDIC96,FPIC96_Q,NRIPDC96_Q,PNFIC96_Q,PRFIC96_Q,CBIC96_GDP,GCEC96,FGCEC96_Q,GRECPT,SLCEC96_Q,EXPGSC96,IMPGSC96,DPIC96,OUTNFB,OUTBS,INDPRO,IPFINAL,IPCONGD,IPMAT,IPDMAT,IPNMAT,IPDCONGD,IP.B51110.S,IPNCONGD,IP.B52000.S,TCU,PAYEMS,USPRIV,MANEMP,SRVPRD,USGOOD,DMANEMP,NDMANEMP,USCONS,USEHS,USFIRE,USINFO,USPBS,USLAH,USSERV,USMINE,USTPU,USGOVT,USTRADE,USWTRADE,CES9091000001,CES9092000001,CES9093000001,CE160V,LNS11300000,LNS14000000,URATE_ST,URATE_LT,LNS14000012,LNS14000025,LNS14000026,LNS1300839,LNS13008756,UEMP15T26,LNS13008636,LNS13023621,LNS13023557,LNS13023705,LNS13023569,LNS12032194,HOABS,HOANBS,AWHMAN,AWHNONAG,AWOTMAN,A0M046,A0M057,A0M059,A0M007,A0M008,A1M092,A0M027,NAPMSDI,NAPMII,NAPMNOI,A0M070
1961.5,0.006976159,-0.004946252,0.010332618,-0.007643439,-0.006213878,0.062894575,0.011896704,-0.002910184,-0.004595184,0.047225486,0.002154525,0.014314527,0.025578524,0.006286958,-0.001515017,-0.021830108,0.049234533,0.003102865,0.009454799,0.00791678,0.021048514,0.008001743,0.009492432,0.037200129,0.064159093,0.015246617,0.020426634,0.007049525,0.004755369,0.006353965,NaN,0.002586408,0.002534517,0.007612134,0.000729206,0.006484854,0.01207457,0.001523077,0.001270471,0.001767695,-0.001053398,0.004751832,0.002618027,-0.001884153,0.001772676,0.005432161,-0.001232215,0.002966442,-0.001821062,-0.000107343,0.007821571,-5.71E-05,0.001689363,-0.003898722,-0.30414249,-0.238850648,-0.134169709,0.076398305,1.147770115,-0.259643873,-0.438195261,-0.001914693,-0.063196229,-0.034107101,0.059252356,NaN,NaN,NaN,NaN,-0.061157517,0.003964474,0.001873365,-0.531830838,NaN,0.291214218,-22.82518209,0.016068891,0.007535015,0.027543967,0.017528246,0.002358285,0.071983381,-5.325692145,1.945804128,8.360627564,-0.003479052
1961.75,0.010529231,0.010027649,0.033558942,0.006761429,0.006541793,0.004470821,0.019366904,0.041920977,0.015586934,0.027619118,0.000643339,0.015119863,0.014592264,0.017635666,0.016716508,0.014116568,0.008632058,0.009031863,0.011875257,0.010283856,0.024156889,0.023251342,0.02044019,0.028987241,0.030475074,0.03293614,0.039765471,0.084294783,0.014249875,0.027028114,NaN,0.001943553,0.002757075,0.008520855,-0.001105162,0.008111289,0.010523323,0.00579845,0.009999265,0.002043853,-0.002002954,0.0027382,0.001962901,-0.001451168,0.001894517,-0.006535125,-0.002553873,-0.002179407,-0.00253137,-0.003583327,0.003053591,-0.008512986,-0.002511258,-0.000290692,-0.238044961,-0.572808534,-0.401962711,-0.187587278,-1.452443508,-0.593871333,-0.371984794,-0.039286398,-0.085371094,-0.180722366,-0.158731293,NaN,NaN,NaN,NaN,-0.085829928,0.006517078,0.008646759,0.07093635,NaN,0.224715105,-19.38791631,0.022703191,0.012116048,0.042013661,0.043070719,0.002345573,-0.021368102,-2.460888369,5.731798431,11.69221587,0.000487977
1962,0.00833999,0.000812098,0.007567455,-0.001280687,0.001329504,0.040603159,0.007217686,0.009127025,0.005534874,0.011410983,0.00432818,0.012615056,0.033140755,-0.000913288,-0.01728182,-0.018744668,0.015145365,-0.000521533,0.010117927,0.009904469,0.004566404,0.004594628,-0.003076939,0.007155972,0.01524663,-0.005742944,0.000611836,-0.00387145,-0.003381371,0.017865188,NaN,0.001225205,0.0018424,0.007647154,-0.000516183,0.004919605,0.010551949,0.003626778,-0.006306988,0.001453222,-0.00204823,0.001928103,0.001413653,-0.001027081,0.001464856,-0.005711394,-0.000506688,-0.001879436,-0.001172824,0.002905414,0.003177943,-0.00540808,-0.003072385,0.001392089,-0.138611208,-0.573408862,-0.448168537,-0.152246258,-0.352628133,-0.594743396,-0.505752061,-0.058649078,-0.120755125,-0.149552686,-0.149792021,NaN,NaN,NaN,NaN,-0.080215271,0.007074521,-0.000326047,-0.059638968,NaN,0.024876796,-17.95099189,0.002174808,0.006618283,0.015355677,-0.000516312,0.016299712,0.02643699,1.205093542,8.318491748,3.223910702,0.007363405
1962.25,0.001230303,0.002406295,0.012760873,0.004135554,-0.002925423,-0.019800011,0.016223672,0.008634083,0.01242215,0.024660131,0.000439154,-0.001674544,-0.000152554,0.000517709,-0.003016819,0.075380789,0.006751893,0.00044589,0.000143842,0.001038492,-0.000564573,0.011157949,0.007569262,-0.015350414,-0.022325182,8.03E-05,0.022462201,0.040621339,0.00188965,0.013417431,NaN,0.002982449,0.003415228,0.005383476,0.001260645,0.006648953,0.006961564,0.003206475,0.017740733,0.001937217,-0.001337749,0.00113142,0.001567745,0.002204034,0.001587239,-0.010461249,0.001804602,0.000836597,0.001271955,0.001482904,0.003028267,0.004096854,-0.001210712,-0.001891051,-0.139174228,-0.107317055,-0.151255207,-0.079223839,-1.519449318,0.071075061,-0.239496295,-0.040002532,-0.003589424,-0.087834224,-0.087842736,NaN,NaN,NaN,NaN,0.02581487,0.002125555,0.007864642,0.176435192,NaN,-0.008301779,-18.18121767,0.001532859,0.005409308,-0.038521266,-0.035942859,-0.029836072,-0.019518734,-10.26111942,0.039205923,-2.711001071,0.002085824
1962.5,1.74E-05,-0.001651203,-0.006550477,-0.002062657,0.000847652,0.005001293,-0.003677112,-0.012695518,-0.001925704,-0.006639149,0.001491741,0.016357547,0.02591172,0.008006838,0.002561389,-0.07375481,-0.002210342,-0.004804977,0.000869768,-0.000476471,0.000449327,0.002730518,-0.000669478,-0.003882523,-0.005482722,-0.004118481,-0.004430261,0.034026311,-0.000254492,0.015212969,NaN,-0.002041346,-0.002909682,-0.001471153,-0.002407589,-0.000934346,-0.001256831,-0.001721326,0.004905045,-0.000309543,-0.002267615,-0.005059396,-0.001524406,-0.004890943,-0.000160169,-0.012514085,-0.006187322,0.00255893,-0.005061519,-0.00246398,0.002341773,0.001539015,0.00318714,-0.000298916,-0.006400774,0.025469164,0.228219584,-0.063145514,-0.186237614,-0.029746915,0.293451031,0.053540715,0.061660425,0.012036326,-0.073320791,NaN,NaN,NaN,NaN,-0.000134254,-0.008463998,-0.006077071,0.112483708,NaN,-0.041487454,-19.41208382,-0.005036198,0.002471746,0.014208764,0.019335881,-0.022061078,-0.028259969,-10.92624639,-6.172770102,-4.112595952,0.004437658
1962.75,-0.005566362,0.004334509,0.029476756,0.00187104,-0.001304223,-0.041507769,-0.014739158,-0.013365951,-0.017923705,-0.007418076,-0.001534636,0.000545295,0.001084111,-0.002140875,0.000671376,-0.037955768,-0.002656638,-0.001194352,-0.007949646,-0.007026432,-0.001701662,-0.003631202,-0.005554056,0.000369872,0.004836805,-0.008805785,-0.000129575,-0.007716388,-0.007179086,-0.00187929,NaN,-0.002789218,-0.003152672,-0.002299845,-0.002368005,-0.003182552,-0.001152693,-0.003885249,-0.005378925,-0.003628207,-0.001315892,0.000165274,-0.0030224,-0.002767087,-0.003440977,-0.011759746,-0.003229175,-0.000837255,-0.003214345,-0.006998472,-0.007505688,0.002606566,0.001460612,-0.003544996,-0.340290738,-0.041714635,0.032308533,-0.107279207,0.780349784,-0.097207178,-0.173574908,0.018204483,-0.058491376,0.088693572,-0.146976619,NaN,NaN,NaN,NaN,-0.011726681,-0.010248608,-0.010386458,-0.018167212,NaN,-0.008013329,-20.97710878,0.004775233,0.006593295,0.040871744,0.005286524,0.01730374,0.046112287,-7.057053539,-0.717484794,-0.080966883,6.39E-05
1963,0.001649645,-0.002998296,0.006116338,-0.006645873,-0.00141463,0.039486139,0.001336754,0.002118122,-0.011756833,0.028864499,0.002644144,-0.019962929,-0.038173982,0.008004845,0.008503783,0.007013908,-0.038211658,-0.001415059,-0.000587001,0.002292221,0.008259665,0.013106235,0.016778982,0.008301441,0.005725503,0.00295649,0.012016616,0.000405103,0.018784106,0.004469166,NaN,-0.00291868,-0.003932789,-0.001840818,-0.002238941,-0.003820921,-0.001157905,-0.002771556,-0.012695529,-0.004093394,-0.00075413,-0.006783698,-0.004496063,-0.003263858,-0.003758047,-0.008068316,-0.003627517,0.00233173,-0.002597897,-0.000110042,0.005755832,-0.00100978,0.001917593,-0.002190835,0.025822451,0.224465929,0.155164389,0.132335129,1.813646343,0.235363051,0.026092686,0.007924077,0.107819727,-0.052080361,0.17988611,NaN,NaN,NaN,NaN,-0.025652377,0.004348282,0.002071048,0.117808522,NaN,-0.007880709,-20.20982303,0.003996228,-0.002734771,0.029062712,0.026420804,0.061392322,0.012302188,-3.453682694,-2.461663114,2.517131303,-0.001389604
1963.25,0.003558444,-0.000158664,0.007529044,0.000351987,-0.003455887,0.004028666,0.031975761,0.003663865,0.016492518,0.0634299,-0.000329078,-0.005489239,-0.008156067,0.007834558,-0.000846768,0.094597303,0.008486927,-0.000671084,0.006433047,0.004096267,0.016020238,-0.000731881,0.004525472,0.030517938,0.045485391,0.015151546,0.018310659,0.026213063,-9.79E-05,-0.010184904,NaN,0.000870027,0.001457988,0.002122744,-0.000598466,0.004092991,0.002678262,0.001368782,0.014538726,-0.001076255,-0.001062344,0.002679542,-0.000398865,-0.001269977,-0.001201965,0.004415244,0.000742745,-0.002074375,-0.002198339,-0.001684349,-0.004594947,-0.007218862,0.001047668,0.002341272,0.058605177,-0.042655646,-0.111607575,-0.022335203,0.646982331,-0.332035469,-0.007546296,-0.004702547,-0.048840372,-0.008593532,-0.024272939,NaN,NaN,NaN,NaN,-0.0005827,0.003060494,0.002299499,0.187070248,NaN,-0.007756306,-21.11040833,0.00825409,-0.003434992,-0.002898327,0.019836269,0.047575732,0.019845192,1.417068866,2.661312351,6.081643403,-0.003159572
1963.5,0.009961733,0.003872447,-0.001297897,0.006790711,0.00225211,0.01860167,0.012713699,0.026021707,0.012988779,0.013111756,0.000603327,0.037086332,0.051566033,0.00235739,0.016555582,-0.070903806,0.010300386,0.00108352,0.01383537,0.011729164,-0.003309796,0.000543251,-0.001235378,-0.008710857,-0.021811379,0.00648557,0.011635536,0.009703007,-0.006436191,0.002530144,NaN,-0.000687888,-0.00104418,-0.000398877,-0.001479971,0.001242663,-0.000489172,-0.000226978,0.009894398,-0.000364249,-0.002581703,-3.15E-05,-0.000388255,-0.003515191,-0.000262436,0.001488217,-0.003632608,0.00117051,-0.003588919,-0.00357305,-0.006990025,0.006197151,0.003515192,0.000433084,-0.108608741,-0.24307887,-0.119602511,-0.031175736,-0.419636193,-0.232735965,0.058841724,-0.054411055,-0.001551898,0.011747629,-0.039923927,NaN,NaN,NaN,NaN,0.00927137,-0.00358599,-0.001306118,0.222944631,NaN,0.125693358,-20.67902686,0.001336391,-0.006406555,-0.008781814,-0.014595578,-0.006058474,0.00499813,-8.278237069,0.084733193,3.612532164,0.00400199
1963.75,-0.002237336,-0.001370099,0.002026252,0.002952602,-0.008102646,0.000375258,0.017895247,0.022318443,0.014662252,0.025091142,-0.001162686,-0.016262856,-0.029640179,-0.003378114,0.004017778,0.032982999,-0.018043209,0.006316225,-0.002184823,-0.002574507,0.00685235,0.004722413,0.00498794,0.008417914,0.015817591,0.003717417,0.009595116,0.017130164,0.003527301,0.0049428,NaN,0.000400587,-0.000264799,0.000476669,0.001116433,-0.000581386,0.001552275,-0.001037322,-0.007211217,0.001721218,0.000522373,-0.000992473,0.000693696,0.001452301,0.001410825,0.006720674,-0.000640166,0.003798331,0.000805501,0.001784769,-0.00656569,0.005962052,0.00805354,-0.001034809,0.024180579,0.056529256,0.062037321,-0.040907188,-0.219540397,0.099927914,-0.008076956,0.050720503,-0.023615548,-0.025675583,-0.054256608,NaN,NaN,NaN,NaN,-0.015933333,0.002088406,0.003741841,0.292092458,NaN,0.025802138,-19.91582656,0.00287703,0.001859442,-0.002575586,0.021627113,-0.004817613,0.007156444,-7.639680232,-5.124795757,5.109757942,0.000842786
